,team,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,spread,def_rush_att,def_rush_tds,off_rush_att,off_rush_tds,def_pass_cmp,def_pass_att,def_pass_tds,def_pass_ints,off_pass_cmp,off_pass_att,off_pass_tds,off_pass_ints,def_sacks,def_sack_yds,tm_penalty,tm_penalty_yds,opp_penalty,opp_penalty_yds
60,bills,2,Mon,September 19,home,titans,41,7,26,40,313,4,0,1,4,7.9,7.6,65.0,122.2,24,101,4.2,0,2,2,5,13,2,3,31:34,2,2-0,23,,12,187,107,80,4.0,17.69,18.01,1.55,10.0,27,1,24,0,12,24,0,2,26,40,4,0,2,16,8,49,9,87
61,titans,2,Mon,September 19,away,bills,7,41,12,24,107,0,2,2,16,5.1,4.1,50.0,27.6,27,80,3.0,1,0,0,4,12,1,1,28:26,2,0-2,12,4.0,23,414,313,101,,-18.01,-17.69,-1.55,-10.0,24,0,27,1,26,40,4,0,12,24,0,2,1,4,9,87,8,49
62,eagles,2,Mon,September 19,home,vikings,24,7,26,31,323,1,1,3,10,10.7,9.5,83.9,107.4,34,163,4.8,2,1,2,7,13,0,0,36:14,2,2-0,25,1.0,20,264,202,62,3.0,14.26,7.86,-7.37,2.5,11,0,34,2,27,46,1,3,26,31,1,1,2,19,8,60,5,25
63,vikings,2,Mon,September 19,away,eagles,7,24,27,46,202,1,3,2,19,4.8,4.2,58.7,49.4,11,62,5.6,0,0,0,4,12,0,0,23:46,2,1-1,20,3.0,25,486,323,163,1.0,-7.86,-14.26,7.37,-2.5,34,2,11,0,26,31,1,1,27,46,1,3,3,10,5,25,8,60
64,browns,3,Thu,September 22,home,steelers,29,17,21,31,205,2,0,2,15,7.1,6.2,67.7,107.6,38,171,4.5,1,1,1,6,16,3,4,36:09,3,2-1,22,,20,308,204,104,1.0,10.79,1.19,0.62,4.5,22,2,38,1,20,32,0,0,21,31,2,0,1,3,5,24,5,25
65,steelers,3,Thu,September 22,away,browns,17,29,20,32,204,0,0,1,3,6.5,6.2,62.5,80.7,22,104,4.7,2,1,2,1,9,0,0,23:51,3,1-2,20,1.0,22,376,205,171,,-1.19,-10.79,-0.62,-4.5,38,1,22,2,21,31,2,0,20,32,0,0,2,15,5,25,5,24
66,dolphins,3,Sun,September 25,home,bills,21,19,13,20,171,1,0,2,15,9.3,7.8,65.0,108.5,17,41,2.4,2,0,0,3,8,0,0,19:20,3,3-0,15,,31,497,382,115,1.0,7.45,-15.88,4.86,4.5,23,0,17,2,42,63,2,0,13,20,1,0,4,18,4,20,7,52
67,bills,3,Sun,September 25,away,dolphins,19,21,42,63,382,2,0,4,18,6.3,5.7,66.7,93.5,23,115,5.0,0,1,2,11,18,2,3,40:40,3,2-1,31,1.0,15,212,171,41,,15.88,-7.45,-4.86,-4.5,17,2,23,0,13,20,1,0,42,63,2,0,2,15,7,52,4,20
68,panthers,3,Sun,September 25,home,saints,22,14,12,25,148,1,0,3,22,6.8,5.3,48.0,80.1,31,145,4.7,0,3,3,4,14,0,1,30:10,3,1-2,12,,19,426,342,84,3.0,-9.01,4.57,11.38,2.5,22,1,31,0,25,41,1,2,12,25,1,0,1,11,4,40,7,58
69,saints,3,Sun,September 25,away,panthers,14,22,25,41,342,1,2,1,11,8.6,8.1,61.0,75.5,22,84,3.8,1,0,2,5,13,0,0,29:50,3,1-2,19,3.0,12,293,148,145,,-4.57,9.01,-11.38,-2.5,31,0,22,1,12,25,1,0,25,41,1,2,3,22,7,58,4,40
70,bears,3,Sun,September 25,home,texans,23,20,8,17,82,0,2,5,24,6.2,3.7,47.1,21.8,40,281,7.0,2,3,3,6,14,0,0,31:22,3,2-1,17,2.0,17,329,237,92,2.0,2.69,1.75,-1.18,3.0,24,1,40,2,20,32,1,2,8,17,0,2,1,8,6,32,3,25
71,texans,3,Sun,September 25,away,bears,20,23,20,32,237,1,2,1,8,7.7,7.2,62.5,69.4,24,92,3.8,1,2,2,3,12,1,1,28:38,3,0-2-1,17,2.0,17,363,82,281,2.0,-1.75,-2.69,1.18,-3.0,40,2,24,1,8,17,0,2,20,32,1,2,5,24,3,25,6,32
72,jets,3,Sun,September 25,home,bengals,12,27,28,52,252,0,2,4,33,5.5,4.5,53.8,51.1,20,76,3.8,0,4,4,7,18,0,3,27:36,3,1-2,19,4.0,20,330,261,69,1.0,-16.45,-3.99,6.98,6.0,28,0,20,0,23,36,3,0,28,52,0,2,2,14,4,55,5,30
73,bengals,3,Sun,September 25,away,jets,27,12,23,36,261,3,0,2,14,7.6,6.9,63.9,113.3,28,69,2.5,0,2,3,7,14,0,1,32:24,3,1-2,20,1.0,19,328,252,76,4.0,3.99,16.45,-6.98,-6.0,20,0,28,0,28,52,0,2,23,36,3,0,4,33,5,30,4,55
74,colts,3,Sun,September 25,home,chiefs,20,17,27,37,177,2,0,5,45,6.0,4.2,73.0,100.8,27,82,3.0,0,2,2,6,15,1,3,33:32,3,1-1-1,19,1.0,20,315,257,58,2.0,-7.1,-1.78,13.31,5.5,23,1,27,0,20,36,1,1,27,37,2,0,1,5,4,34,6,45
